district,LGBT,Non-LGBT,LGBTtotal,Non-LGBTtotal,LGBT %,Non-LGBT %,Diff
Pajaro Valley Unified,50,154,171,2911,29.239766081871345,5.290278254895225,23.94948782697612
Santa Cruz City High,63,124,164,1646,38.41463414634146,7.533414337788578,30.881219808552885
San Lorenzo Valley Unified,14,26,55,371,25.454545454545453,7.008086253369272,18.446459201176182
Scotts Valley Unified,14,29,50,439,28.0,6.605922551252847,21.394077448747154
