grade,LGBT,Non-LGBT,LGBTtotal,Non-LGBTtotal,LGBT %,Non-LGBT %,Diff
9th,30.0,98.0,192.0,2120.0,15.625,4.622641509433962,11.002358490566039
11th,14.0,50.0,163.0,1524.0,8.588957055214724,3.2808398950131235,5.308117160201601
7th,29.0,146.0,109.0,1929.0,26.605504587155963,7.568688439606014,19.03681614754995
13th,9.0,14.0,60.0,301.0,15.0,4.651162790697675,10.348837209302324
12th,2.0,2.0,12.0,46.0,16.666666666666668,4.3478260869565215,12.318840579710146
10th,1.0,1.0,11.0,48.0,9.090909090909092,2.0833333333333335,7.007575757575758
6th,0.0,1.0,,21.0,,4.761904761904762,
8th,0.0,1.0,,17.0,,5.882352941176471,
