grade,LGBT,Non-LGBT,LGBTtotal,Non-LGBTtotal,LGBT %,Non-LGBT %,Diff
9th,85,194,192.0,2120.0,44.270833333333336,9.150943396226415,35.11988993710692
11th,53,130,163.0,1524.0,32.515337423312886,8.530183727034121,23.985153696278765
13th,33,38,60.0,301.0,55.0,12.624584717607974,42.37541528239203
12th,4,6,12.0,46.0,33.333333333333336,13.043478260869565,20.289855072463773
10th,7,5,11.0,48.0,63.63636363636363,10.416666666666666,53.21969696969697
