district,LGBT,Non-LGBT,LGBTtotal,Non-LGBTtotal,LGBT %,Non-LGBT %,Diff
Pajaro Valley Unified,74,699,171,2911,43.27485380116959,24.01236688423222,19.26248691693737
Santa Cruz City High,77,432,164,1646,46.951219512195124,26.245443499392465,20.70577601280266
San Lorenzo Valley Unified,24,117,55,371,43.63636363636363,31.536388140161726,12.099975496201907
Scotts Valley Unified,28,137,50,439,56.0,31.20728929384966,24.79271070615034
