cdscode,LGBT,Non-LGBT,LGBTtotal,Non-LGBTtotal,LGBT %,Non-LGBT %,Diff
Soquel High,14.0,20.0,52,464,26.923076923076923,4.310344827586207,22.612732095490717
Harbor High,9.0,18.0,44,364,20.454545454545453,4.945054945054945,15.509490509490508
Santa Cruz High,5.0,18.0,41,435,12.195121951219512,4.137931034482759,8.057190916736754
Branciforte Middle,2.0,7.0,8,145,25.0,4.827586206896552,20.17241379310345
Mission Hill Middle,2.0,14.0,8,179,25.0,7.82122905027933,17.178770949720672
