cdscode,LGBT,Non-LGBT,LGBTtotal,Non-LGBTtotal,LGBT %,Non-LGBT %,Diff
Soquel High,26.0,329.0,52,464,50.0,70.90517241379311,-20.90517241379311
Harbor High,26.0,241.0,44,364,59.09090909090909,66.20879120879121,-7.117882117882118
Santa Cruz High,27.0,331.0,41,435,65.85365853658537,76.0919540229885,-10.238295486403132
Branciforte Middle,1.0,99.0,8,145,12.5,68.27586206896552,-55.77586206896552
Mission Hill Middle,1.0,147.0,8,179,12.5,82.12290502793296,-69.62290502793296
