grade,LGBT,Non-LGBT,LGBTtotal,Non-LGBTtotal,LGBT %,Non-LGBT %,Diff
9th,111.0,1470.0,192.0,2120.0,57.8125,69.33962264150944,-11.527122641509436
11th,104.0,1064.0,163.0,1524.0,63.80368098159509,69.81627296587926,-6.012591984284171
7th,51.0,1356.0,109.0,1929.0,46.788990825688074,70.2954898911353,-23.50649906544723
13th,50.0,241.0,60.0,301.0,83.33333333333333,80.06644518272425,3.266888150609077
12th,10.0,27.0,12.0,46.0,83.33333333333333,58.69565217391305,24.637681159420282
10th,8.0,36.0,11.0,48.0,72.72727272727273,75.0,-2.2727272727272663
6th,0.0,6.0,,21.0,,28.571428571428573,
8th,0.0,7.0,,17.0,,41.1764705882353,
