cdscode,LGBT,Non-LGBT,LGBTtotal,Non-LGBTtotal,LGBT %,Non-LGBT %,Diff
Soquel High,21,37,52,464,40.38461538461539,7.974137931034483,32.4104774535809
Harbor High,18,45,44,364,40.90909090909091,12.362637362637363,28.54645354645354
Santa Cruz High,20,36,41,435,48.78048780487805,8.275862068965518,40.50462573591253
