district,LGBT,Non-LGBT,LGBTtotal,Non-LGBTtotal,LGBT %,Non-LGBT %,Diff
Pajaro Valley Unified,91,1867,171,2911,53.21637426900585,64.13603572655445,-10.919661457548607
Santa Cruz City High,90,1194,164,1646,54.8780487804878,72.53948967193196,-17.66144089144416
San Lorenzo Valley Unified,36,298,55,371,65.45454545454545,80.3234501347709,-14.868904680225441
Scotts Valley Unified,26,333,50,439,52.0,75.85421412300683,-23.854214123006827
