district,LGBT,Non-LGBT,LGBTtotal,Non-LGBTtotal,LGBT %,Non-LGBT %,Diff
Pajaro Valley Unified,27.0,144.0,171,2911,15.789473684210526,4.946753692889041,10.842719991321484
Santa Cruz City High,32.0,81.0,164,1646,19.51219512195122,4.921020656136087,14.591174465815133
San Lorenzo Valley Unified,3.0,24.0,55,371,5.454545454545454,6.46900269541779,-1.0144572408723356
Scotts Valley Unified,13.0,25.0,50,439,26.0,5.694760820045558,20.30523917995444
