grade,LGBT,Non-LGBT,LGBTtotal,Non-LGBTtotal,LGBT %,Non-LGBT %,Diff
9th,87.0,552.0,192.0,2120.0,45.3125,26.037735849056602,19.274764150943398
11th,55.0,290.0,163.0,1524.0,33.74233128834356,19.028871391076116,14.713459897267441
7th,67.0,662.0,109.0,1929.0,61.46788990825688,34.318299637117676,27.149590271139203
13th,27.0,42.0,60.0,301.0,45.0,13.953488372093023,31.046511627906977
12th,5.0,9.0,12.0,46.0,41.666666666666664,19.565217391304348,22.101449275362317
10th,3.0,6.0,11.0,48.0,27.272727272727273,12.5,14.772727272727273
6th,0.0,4.0,,21.0,,19.047619047619047,
8th,0.0,2.0,,17.0,,11.764705882352942,
